FileName,Label,FileContent
package-info.java,Client,"['teammates', 'client', 'remoteapi']"
RemoteApiClient.java,Client,"['io', 'ioexcept', 'com', 'googl', 'appengin', 'tool', 'remoteapi', 'remot', 'api', 'instal', 'com', 'googl', 'appengin', 'tool', 'remoteapi', 'remot', 'api', 'option', 'com', 'googlecod', 'objectifi', 'objectifi', 'com', 'googlecod', 'objectifi', 'objectifi', 'servic', 'com', 'googlecod', 'objectifi', 'util', 'closeabl', 'teammat', 'storag', 'api', 'ofi', 'helper', 'teammat', 'test', 'driver', 'test', 'properti', 'teammates', 'client', 'remoteapi']"
AdminEmailListGenerator.java,Client,"['io', 'buffer', 'writer', 'io', 'file', 'io', 'file', 'output', 'stream', 'io', 'ioexcept', 'io', 'output', 'stream', 'writer', 'io', 'writer', 'text', 'simpl', 'date', 'format', 'util', 'calendar', 'util', 'date', 'util', 'hash', 'map', 'util', 'hash', 'set', 'util', 'list', 'org', 'joda', 'time', 'date', 'time', 'teammat', 'client', 'remoteapi', 'remot', 'api', 'client', 'teammat', 'common', 'except', 'invalid', 'paramet', 'except', 'teammat', 'common', 'util', 'const', 'teammat', 'common', 'util', 'time', 'helper', 'teammat', 'storag', 'entiti', 'account', 'teammat', 'storag', 'entiti', 'cours', 'teammat', 'storag', 'entiti', 'cours', 'student', 'teammat', 'storag', 'entiti', 'instructor', 'teammates', 'client', 'scripts']"
DataBundleRegenerator.java,Client,"['io', 'file', 'io', 'ioexcept', 'util', 'array', 'list', 'util', 'array', 'util', 'collect', 'util', 'list', 'util', 'map', 'org', 'json', 'jsonexcept', 'org', 'json', 'jsonobject', 'com', 'googl', 'appengin', 'api', 'datastor', 'text', 'com', 'googl', 'gson', 'reflect', 'type', 'token', 'teammat', 'common', 'datatransf', 'data', 'bundl', 'teammat', 'common', 'datatransf', 'attribut', 'feedback', 'question', 'attribut', 'teammat', 'common', 'datatransf', 'attribut', 'feedback', 'respons', 'attribut', 'teammat', 'common', 'util', 'json', 'util', 'teammat', 'test', 'driver', 'file', 'helper', 'teammates', 'client', 'scripts']"
DataGenerator.java,Client,"['io', 'buffer', 'writer', 'io', 'file', 'io', 'file', 'writer', 'io', 'ioexcept', 'util', 'array', 'list', 'util', 'hash', 'map', 'util', 'hash', 'set', 'util', 'map', 'util', 'random', 'util', 'set', 'teammat', 'test', 'driver', 'test', 'properti', 'teammates', 'client', 'scripts']"
DataMigrationForFeedbackResponseCommentSearchDocumentDateFormat.java,Client,"['io', 'ioexcept', 'lang', 'reflect', 'invoc', 'target', 'except', 'lang', 'reflect', 'method', 'text', 'date', 'format', 'text', 'pars', 'except', 'text', 'simpl', 'date', 'format', 'util', 'array', 'list', 'util', 'list', 'util', 'local', 'com', 'googl', 'appengin', 'api', 'search', 'document', 'com', 'googl', 'appengin', 'api', 'search', 'index', 'com', 'googl', 'appengin', 'api', 'search', 'index', 'spec', 'com', 'googl', 'appengin', 'api', 'search', 'put', 'except', 'com', 'googl', 'appengin', 'api', 'search', 'search', 'servic', 'factori', 'com', 'googl', 'gson', 'json', 'parser', 'teammat', 'client', 'remoteapi', 'remot', 'api', 'client', 'teammat', 'client', 'script', 'util', 'loop', 'helper', 'teammat', 'common', 'datatransf', 'attribut', 'feedback', 'respons', 'comment', 'attribut', 'teammat', 'common', 'util', 'const', 'teammat', 'common', 'util', 'retri', 'maximum', 'retri', 'exceed', 'except', 'teammat', 'logic', 'core', 'feedback', 'respons', 'comment', 'logic', 'teammat', 'storag', 'search', 'feedback', 'respons', 'comment', 'search', 'document', 'teammat', 'storag', 'search', 'search', 'manag', 'teammates', 'client', 'scripts']"
DataMigrationForResponseRate.java,Client,"['io', 'ioexcept', 'util', 'array', 'list', 'util', 'list', 'teammat', 'client', 'remoteapi', 'remot', 'api', 'client', 'teammat', 'common', 'datatransf', 'attribut', 'feedback', 'session', 'attribut', 'teammat', 'common', 'except', 'entiti', 'doe', 'not', 'exist', 'except', 'teammat', 'common', 'except', 'invalid', 'paramet', 'except', 'teammat', 'logic', 'api', 'logic', 'teammat', 'storag', 'api', 'feedback', 'session', 'db', 'teammates', 'client', 'scripts']"
DataMigrationForSanitizedDataInAdminEmailAttributes.java,Client,"['io', 'ioexcept', 'util', 'list', 'com', 'googl', 'appengin', 'api', 'datastor', 'text', 'teammat', 'client', 'remoteapi', 'remot', 'api', 'client', 'teammat', 'client', 'script', 'util', 'loop', 'helper', 'teammat', 'common', 'datatransf', 'attribut', 'admin', 'email', 'attribut', 'teammat', 'common', 'except', 'entiti', 'doe', 'not', 'exist', 'except', 'teammat', 'common', 'except', 'invalid', 'paramet', 'except', 'teammat', 'common', 'util', 'sanit', 'helper', 'teammat', 'logic', 'core', 'admin', 'email', 'logic', 'teammat', 'storag', 'api', 'admin', 'email', 'db', 'teammates', 'client', 'scripts']"
DataMigrationForSanitizedDataInCourseAttributes.java,Client,"['teammat', 'common', 'util', 'sanit', 'helper', 'desanit', 'from', 'html', 'teammat', 'common', 'util', 'sanit', 'helper', 'is', 'sanit', 'html', 'io', 'ioexcept', 'util', 'list', 'teammat', 'client', 'remoteapi', 'remot', 'api', 'client', 'teammat', 'client', 'script', 'util', 'loop', 'helper', 'teammat', 'common', 'datatransf', 'attribut', 'cours', 'attribut', 'teammat', 'common', 'except', 'entiti', 'doe', 'not', 'exist', 'except', 'teammat', 'common', 'except', 'invalid', 'paramet', 'except', 'teammat', 'logic', 'core', 'cours', 'logic', 'teammat', 'storag', 'entiti', 'cours', 'teammates', 'client', 'scripts']"
DataMigrationForSanitizedDataInStudentAttributes.java,Client,"['io', 'ioexcept', 'util', 'list', 'teammat', 'client', 'remoteapi', 'remot', 'api', 'client', 'teammat', 'common', 'datatransf', 'attribut', 'student', 'attribut', 'teammat', 'common', 'except', 'entiti', 'doe', 'not', 'exist', 'except', 'teammat', 'common', 'except', 'invalid', 'paramet', 'except', 'teammat', 'common', 'util', 'sanit', 'helper', 'teammat', 'logic', 'core', 'student', 'logic', 'teammat', 'storag', 'api', 'student', 'db', 'teammates', 'client', 'scripts']"
